DateTime,Summary,Temp,Rain,Wind_Speed
2012-11-21 22:00:00,Scattered Clouds,9,0,9
2012-11-21 23:00:00,Scattered Clouds,10,0,16
2012-11-22 00:00:00,Scattered Clouds,10,0,22
2012-11-22 01:00:00,Scattered Clouds,11,0,24
2012-11-22 02:00:00,Mostly Cloudy,11,0,25
2012-11-22 03:00:00,Mostly Cloudy,12,0,22
2012-11-22 04:00:00,Light Rain,12,1,25
2012-11-22 05:00:00,Mostly Cloudy,12,0,46
2012-11-22 06:00:00,Light Rain Showers,12,1,37
2012-11-22 07:00:00,Light Rain,11,1,27
2012-11-22 08:00:00,Light Rain,10,1,31
2012-11-22 09:00:00,Light Rain,8,1,27
2012-11-22 10:00:00,Light Rain,7,1,22
2012-11-22 11:00:00,Light Rain,7,1,18
2012-11-22 12:00:00,Light Rain,7,1,24
2012-11-22 13:00:00,Light Rain,6,1,20
2012-11-22 14:00:00,Light Rain,6,1,18
2012-11-22 15:00:00,Mostly Cloudy,6,0,18
2012-11-22 16:00:00,Mostly Cloudy,6,0,22
2012-11-22 17:00:00,Scattered Clouds,6,0,31
2012-11-22 18:00:00,Partly Cloudy,6,0,27
2012-11-22 19:00:00,Mostly Cloudy,7,0,22
2012-11-22 20:00:00,Scattered Clouds,6,0,27
2012-11-22 21:00:00,Partly Cloudy,6,0,33
2012-11-22 22:00:00,Scattered Clouds,6,0,33
2012-11-22 23:00:00,Mostly Cloudy,6,0,35
2012-11-23 00:00:00,Mostly Cloudy,6,0,29
2012-11-23 01:00:00,Mostly Cloudy,6,0,33
2012-11-23 02:00:00,Scattered Clouds,5,0,31
2012-11-23 03:00:00,Scattered Clouds,5,0,27
2012-11-23 04:00:00,Partly Cloudy,5,0,29
2012-11-23 05:00:00,Partly Cloudy,5,0,25
2012-11-23 06:00:00,Scattered Clouds,5,0,24
2012-11-23 07:00:00,Mostly Cloudy,5,0,13
2012-11-23 08:00:00,Mostly Cloudy,5,0,18
2012-11-23 09:00:00,Mostly Cloudy,5,0,16
2012-11-23 10:00:00,Partly Cloudy,6,0,24
2012-11-23 11:00:00,Partly Cloudy,6,0,25
2012-11-23 12:00:00,Partly Cloudy,7,0,24
2012-11-23 13:00:00,Partly Cloudy,8,0,25
2012-11-23 14:00:00,Partly Cloudy,8,0,27
2012-11-23 15:00:00,Partly Cloudy,7,0,31
2012-11-23 16:00:00,Partly Cloudy,6,0,16
2012-11-23 17:00:00,Partly Cloudy,6,0,18
2012-11-23 18:00:00,Partly Cloudy,4,0,13
2012-11-23 19:00:00,Partly Cloudy,4,0,14
2012-11-23 20:00:00,Partly Cloudy,4,0,14
2012-11-23 21:00:00,Partly Cloudy,4,0,14
2012-11-23 22:00:00,Partly Cloudy,3,0,13
2012-11-23 23:00:00,Partly Cloudy,2,0,13
2012-11-24 00:00:00,Partly Cloudy,2,0,13
